id_post,timestamp,titulo,autor,conteudo
1,2025-10-31 22:15,Minha experiência estudando em Escola Técnica,Maria Eloisa ,"""Em meu primeiro ano cursando Desenvolvimento de Sistemas no CEEP, pensei que não eu não seria capaz de continuar o curso. A barra era pesada, as atividades relacionadas ao projeto ocupavam boa parte do meu tempo e como organizadora, eu sentia que estava sendo muito pressionada. Chorei, mas com a ajuda dos meus colegas e apoio dos professores, fui capaz de ir até o final do ano, com meu projeto (Neo Conexão) sendo aprovado para FECCI e com o desenrolar do projeto, tudo ficou mais leve, divertido e agradável e sinto que amadureci como pessoa e melhorei minhas habilidades de socialização e trabalho em equipe."""
2,2025-11-04 08:59,Por trás das dificuldades há oportunidades,Isabely,"""Estudar em uma escola de ensino técnico integrado ao ensino médio certamente não é fácil: estuda daqui, trabalha no projeto dali... Mas, mesmo com toda a dificuldade, cursar ensino técnico garante diversas oportunidades no mercado de trabalho, e isso é algo em que realmente se vale a pena investir"""
3,2025-11-04 14:35,não sei,carlos,"""qualquer."""
4,2025-11-04 14:58,sao miguel,manuela,"""minha escola e muito divertida e legal e ensinha muito bem """
5,2025-11-04 14:59,sao miguel,kerolim,"""acho a minha escola muita legal """
6,2025-11-04 15:03,não sei,ian eduardo,"""muito legal"""
7,2025-11-04 15:46,Midia,Matheus,"""muito dahora"""
8,2025-11-05 09:13,o passeio ,isabelly e laura ,"""eu e isa achamos esse passeio um maximo e nos divertimos muito essa esperiencia de estar aqui agradecemos a todos desse curso tchauuu"""
9,2025-11-05 09:24,o passeio ,pedro,"""eu gostei muito"""
10,2025-11-05 11:27,teste,Pedro,"""Muito top, slk"""
11,2025-11-06 09:24,Programador,joao guilherme garcia de lima,"""eu quero fazer muitos jogos do hesse sonic"""
12,2025-11-06 09:27,engenharia robotica,arthur goncalves,"""q daora pc daora"""
13,2025-11-06 09:29,inventor de jogos,davi,"""eu gosto muito de criar jogos para todos jogar"""
14,2025-11-06 09:32,eu quero ser pai e cuzinheiro,joaquim ,"""eu quero ser pai e cuzinheiro, porque meu pai ama eu e eu tanbem quero ter essa censsacao"""
15,2025-11-06 09:34,cirurgiã,Melissa ,"""quero fazer isso quando creser"""
16,2025-11-06 10:03,cesar sandino,arthur ,"""
a escola e muito legal divertido tambem muito boa e ensinativa e ensina muito bem"""
17,2025-11-06 10:06,cesar sandino,eliangel,"""ela e muito boa"""
18,2025-11-06 10:07,cesar sandino,antony,"""ela e muito boa e eu me divirto muito """
19,2025-11-11 08:40,Julio,Felipe,"""Julio apesar de ser muito bonito ele é muito conversero que atrapalha o grupo todo """
20,2025-11-11 09:12,Maria,Maria eloisa,"""AFF VEYR JURO SLK NÃO COMPENSA"""
21,2025-11-11 09:39,nao sei,Caiu,"""estou com fome, e passo fome diariamente, me mande pix, por que o cara do pix vai vim aqui no ceep, me da pix senhor do pix."""
